outcode,latitude,longitude
WD5,51.70338519615393,-0.4162443923076922
WD6,51.65745629085862,-0.27556537950138527
WD7,51.68724315740742,-0.3098196342592593
WD17,51.663944250000036,-0.40556741958041975
WD18,51.649083438718755,-0.4145739108635098
WD19,51.6308037696794,-0.3905348556851312
WD23,51.64530775933082,-0.35799873359073414
WD24,51.6736926468402,-0.398040282527881
WD25,51.68721085152838,-0.38766654148471597
WD99,51.648781,-0.422065
AL1,51.74892130327873,-0.32374542540983386
AL2,51.71900667715455,-0.33561105882352926
AL3,51.78046814554977,-0.3777129633507855
AL4,51.773832404580155,-0.29482745165394414
AL5,51.815903249527345,-0.3523620037807183
AL6,51.832233982213396,-0.19979919367588939
AL7,51.79686742204907,-0.18706743207126966
AL8,51.80357610328637,-0.21174662206572756
AL9,51.74431825407926,-0.1974494848484848
AL10,51.760221586514,-0.23256862722646318
HP1,51.756389663768,-0.48787676376811645
HP2,51.76438083214642,-0.4519983357070189
HP3,51.7357551905388,-0.47137471616294313
HP4,51.7678704021592,-0.5690772307692308
HP5,51.71270862806542,-0.6086007997275205
HP6,51.678628885057456,-0.5985383264367823
HP7,51.664421441666725,-0.6101626555555554
HP8,51.63810558181821,-0.5695936818181819
HP9,51.61018904982205,-0.6402206459074725
HP10,51.608482166077785,-0.6981359522968191
HP11,51.6236699452333,-0.7454091987829607
HP12,51.626131908350295,-0.7797348839103878
HP13,51.634517759717305,-0.7405669222614839
HP14,51.65246534444441,-0.8386545351851852
HP15,51.658843426540294,-0.7112559928909953
HP16,51.70231255495982,-0.7198650187667563
HP17,51.775801153638845,-0.8873924339622639
HP18,51.819983201729045,-0.9677391051873201
HP19,51.82371492773111,-0.8280366621848748
HP20,51.82022596275587,-0.8065534767225353
HP21,51.80523934473327,-0.8058977701778386
HP22,51.80914557900212,-0.769414797297298
HP23,51.79572477739129,-0.6614733686956527
HP27,51.7209422179775,-0.8331210292134839
OX1,51.74500215863692,-1.261324339600466
OX2,51.76623615181189,-1.2809722438785498
OX3,51.76239651463173,-1.2116151321897088
OX4,51.73111246998553,-1.2174211815519778
OX5,51.83051835663336,-1.281940500713268
OX7,51.9098795847146,-1.5284042117863732
OX9,51.737921434937604,-0.9837856042780749
OX10,51.60741412765956,-1.128448656673115
OX11,51.600602806175,-1.2513903559176676
OX12,51.59718740452759,-1.4249975472440959
OX13,51.67469070042196,-1.3574088312236294
OX14,51.66837495525751,-1.276618506338551
OX15,52.03029883894227,-1.4109981802884628
OX16,52.06238329252199,-1.3431879486803544
OX17,52.07372049999999,-1.2889569735376027
OX18,51.76297389892475,-1.5913104956989261
OX20,51.855418040146,-1.3570184343065699
OX25,51.90086097714281,-1.2142284666666674
OX26,51.90103540995764,-1.155096620762714
OX27,51.935607907859065,-1.1496931815718163
OX28,51.78722835103613,-1.4860835259067289
OX29,51.79384275346535,-1.4374909603960395
OX33,51.75858126950352,-1.1400767198581558
OX39,51.701593633204666,-0.9157933822393822
OX44,51.6961949739884,-1.1205648179190753
OX49,51.65028230869564,-1.0017544391304352
RG1,51.451739680031935,-0.9697275380914208
RG2,51.41891911406841,-0.9506377024714825
RG4,51.482877597194374,-0.9697004368737475
RG5,51.45204926494022,-0.8996169362549805
RG6,51.437628517241556,-0.927982338196286
RG7,51.39768436708856,-1.0774636242504985
RG8,51.506440276923044,-1.1063503739644982
RG9,51.54494581657853,-0.9261340679012345
RG10,51.48235611225995,-0.8533401181683897
RG12,51.40673391001865,-0.7498724322820031
RG14,51.399786302469174,-1.3230341535493797
RG17,51.44309039090914,-1.5032460681818187
RG18,51.43123591666668,-1.2605475462962956
RG19,51.39073991411046,-1.246506893660532
RG20,51.40353226124207,-1.3376554518201262
RG21,51.264840571616304,-1.0885755886990807
RG22,51.248028276349636,-1.124893046272494
RG23,51.2531449585366,-1.150304800000001
RG24,51.281017998896274,-1.0794228929359801
